Entity,Year,Liver,Breast,Stomach,Colon,Brain and nervous system,Leukemia
Denmark,2017-07-07,436.8467072727281,1308.4529893601155,569.849409817321,2260.1422262364763,488.88384129779854,727.6338512216057
Ecuador,2000-02-11,597.2349838368815,423.17707765536943,1849.8810398804712,510.36480962605333,219.2239872165562,503.9932241515256
Ecuador,2005-05-15,800.6966380955997,582.2236849729402,2283.339305375709,750.8170205722816,327.4670581429557,679.6959816896036
Ecuador,2010-10-13,933.3825414501023,708.1831138257972,2507.165581942875,993.9610856782384,409.7594111318127,803.5959399841754
Ecuador,2015-06-08,1022.8457262246876,815.8249069949885,2423.856270928944,1158.098260938775,437.8937103347741,858.5583840069634
Ecuador,2017-07-07,1156.192527622458,877.13470010685,2579.214875013761,1242.6550556070267,458.8998090989024,875.5794455141415
Egypt,2000-02-11,5498.649516660881,2507.001545092121,1311.9403247011248,1553.9767522582094,1348.4338177897666,2130.0198315015755
Egypt,2005-05-15,7685.201814505231,3312.770873691246,1427.7424143086225,1907.262271372773,1696.3151690303619,2480.579501021851
Egypt,2010-10-13,10344.871001898944,3505.1277081125386,1619.9468363961596,2229.7601761159467,1850.8623645913879,2671.074746487581
Egypt,2015-06-08,11691.050388677151,3497.559004096789,1783.613536138448,2660.28505690701,2095.952882088628,2912.637150503186
Egypt,2017-07-07,12289.28997428126,3585.3772302760826,1864.3937490515589,2880.123158044605,2260.305388949483,3013.198310660359
El Salvador,2000-02-11,226.91694659755225,213.02872458617782,639.0174369281604,279.139927682883,98.88175136992832,299.87624866149224
El Salvador,2005-05-15,283.13807114449213,265.5933733047637,730.9205236413385,348.20315526898383,134.60889600036916,334.86517340845114
El Salvador,2010-10-13,335.3132862645895,319.0665560610408,718.3239958132064,412.4630061438343,150.51127831484425,349.47357733566224
El Salvador,2015-06-08,379.39475075810066,361.4846071754185,759.776260068452,475.75529077110383,168.7951438585728,371.0913261800509
El Salvador,2017-07-07,390.6100593571313,376.16959451159005,773.131320411224,495.4157817967988,171.6428339034634,372.95948425821837
Estonia,2000-02-11,79.04817560395875,255.89524307755573,395.12706793291807,372.5815577373398,78.9278330329653,114.16454239814458
Estonia,2005-05-15,83.88676711615827,247.5482632346532,365.8943024788251,417.88680056016864,88.1468000137388,132.5286367920434
Estonia,2010-10-13,89.77726320599872,226.59396527613185,326.1142508752182,426.7189974418214,83.71845781280862,139.64483037643842
Estonia,2015-06-08,93.02839228597557,225.792470036926,298.41473245828166,445.47895564962823,84.7131131068873,135.72293529146378
Estonia,2017-07-07,93.65584199097022,221.09597874341372,289.12537759541647,438.5912512927594,83.00224940302834,134.08939684427344
Ethiopia,2000-02-11,1374.9119337082818,2575.235154479571,2721.2828666856603,2497.7310928956085,1505.207874085247,2625.791342794367
Ethiopia,2005-05-15,1366.6652401340873,2571.884612137057,2369.218143408672,2602.9859112498025,1550.3255808630606,2844.606980477991
Ethiopia,2010-10-13,1430.9892537419535,2952.5321306289757,2208.3547378654057,3064.151951553516,1748.6910096100914,3151.416782568179
Ethiopia,2015-06-08,1595.5696695295471,3610.030746173132,2139.987676933334,3644.882678160477,1762.6804153340445,3389.6464546037605
Ethiopia,2017-07-07,1690.897323302094,3897.771891730508,2210.464140942027,3973.247886925964,1863.4033177966744,3570.7936637370813
Fiji,2000-02-11,30.05021181514843,69.84537052369616,26.454263654487143,32.31061406256236,8.886792190958335,28.767832766469283
Fiji,2005-05-15,35.70767862659172,80.16381123659346,28.035337960620232,37.71642939520067,9.001364689523005,29.86825564265336
Fiji,2010-10-13,46.69995161142799,101.79738335470564,32.72849655434988,47.36662978164703,10.080322861087305,32.08536312847575
Fiji,2015-06-08,58.24443259374807,114.74041235797635,35.52397095410016,56.18409493492855,11.233115965412429,35.08605721051257
Fiji,2017-07-07,62.08677393534499,120.42570644245932,36.67896313155961,59.06779405155458,11.725896421179565,36.463665356604466
Finland,2000-02-11,310.93656027309123,904.3090945296724,678.474192081585,1081.2227457085123,321.69882197839564,571.4132057674509
Finland,2005-05-15,368.5435706155301,918.6841738334854,626.5502777557293,1133.04322219071,335.21948466015203,528.1215945796966
Finland,2010-10-13,424.14961707661973,941.6027977798103,586.1281338102931,1229.3935428402349,354.2491039020271,457.8909475254063
Finland,2015-06-08,471.5746424098983,911.4330748969986,552.2263486001968,1291.6183125157934,351.9634287517837,449.95814351890925
Finland,2017-07-07,493.59113514819006,925.3032450504803,580.9456896797883,1365.6601615200782,365.16253312720033,481.2254301912941
France,2000-02-11,7196.32185467702,13175.699456214736,8025.236976559567,18989.84915137721,3065.5233128864784,7052.915449246566
France,2005-05-15,7974.088580354179,13691.12286243137,7460.593801808925,19484.06829818903,3250.494425615491,7486.518837124884
France,2010-10-13,8737.17482984562,13882.672357298721,7373.350662161167,20263.72926675946,3642.223187904349,7635.503115175313
France,2015-06-08,8920.868852747977,13477.429854455771,7341.388433185576,20715.286397847463,3904.074362076548,7772.699319720391
France,2017-07-07,8933.517221037122,13603.069507822964,7386.330701993654,21135.24730616951,3946.287917917552,7923.593058141851
Georgia,2000-02-11,281.84548692683484,588.2072624542502,639.9692662909414,381.4498416594919,111.07827869864504,188.51762154029998
Georgia,2005-05-15,254.72553162828208,528.9202173045894,731.3715401100972,431.9382915828811,127.88172527187244,253.42372284737675
Georgia,2010-10-13,338.78133425968775,657.2314024983992,843.7466783176941,540.3717142069659,179.58758494036869,275.6087818417789
Georgia,2015-06-08,459.86332997165647,773.1606033123344,860.6426371217822,644.795073187464,246.84419799702786,267.831626863461
Georgia,2017-07-07,440.5005923479985,765.4997322750058,851.1075975233553,634.3119772588966,234.4537119020803,262.719359319498
Germany,2000-02-11,5668.0635920296945,18963.52673216053,14672.736757591443,30309.174208326363,5399.324555703848,9246.45770128967
Germany,2005-05-15,6481.440574640234,18661.626182536573,13331.09241004014,28991.037377964967,5485.69911685985,9805.380550766127
Germany,2010-10-13,7711.427003096909,19511.838269511933,12874.1820702389,28676.586642054885,5794.777185256587,10167.52976191255
Germany,2015-06-08,8373.005500586689,20035.889331575094,13146.62893031456,29801.297689058327,6182.563272986867,10113.870857344296
Germany,2017-07-07,8511.563902830636,20302.44299513718,13519.202867280923,30910.686938477207,6293.635065170909,10392.126027645185
Ghana,2000-02-11,1692.9717782147964,884.2487177012073,837.7570944987954,605.0171430103127,308.82558738095906,591.5663474143528
Ghana,2005-05-15,1865.8047384058225,1025.4119436377036,815.9295305565969,733.191301700595,374.36145315546713,474.6244091419474
Ghana,2010-10-13,2124.377779425703,1282.3585570720309,920.8154940070469,880.3089328637108,435.3986168706357,487.51701053997215
Ghana,2015-06-08,2499.1663565129816,1561.0344260501058,1047.723009310696,1078.701189117284,562.7770373062964,614.2372581070817
Ghana,2017-07-07,2648.007632183083,1695.059042989706,1095.8973507074918,1166.1888172411473,608.2285941638812,653.6071185834569
Greece,2000-02-11,1797.9531706636233,1790.9830784722812,1823.117775155494,2254.955323406301,1025.8230812478084,1312.4053255865954
Greece,2005-05-15,1772.8385047401773,2211.7827718061003,1916.8702987551185,2607.4582175578234,1122.9404403362844,1561.1863597147005
Greece,2010-10-13,1548.912881965318,2202.4476290584075,1855.9605905479389,2733.8077544961225,1194.6823768437355,1499.6099865774054
Greece,2015-06-08,1457.0363880858404,2256.6592005950474,1849.657204592417,3061.440181683282,1190.7712290077993,1488.3245788362192
Greece,2017-07-07,1527.1997421506303,2341.563667274075,1877.5027978278395,3150.0917350616937,1198.9402940360021,1548.9665437554345
Grenada,2000-02-11,4.605391682660697,8.377216458622547,7.0792730196374425,8.406328734757974,1.266623854460583,4.80091326347599
Grenada,2005-05-15,5.612549819606251,10.26529014134704,8.167655762568543,10.697752827207557,2.059832885221893,5.545543461321121
Grenada,2010-10-13,7.3822548039698574,14.470262349241526,10.648136735633237,15.562452486824634,2.7229856501449405,6.912819401507809
Grenada,2015-06-08,8.548080027739987,19.085109498878783,12.960153028882164,19.8468098898124,3.092516884650806,7.949257938628745
Grenada,2017-07-07,8.743386404550794,20.35774122159313,13.526369101463835,21.090338426502523,3.0774829720825694,8.324288031515428
