Entity,Year,0-4 Years,5-14 Years,15-49 Years,70+ Years,50-69 Years
China,2010,6759.9561548740185,8766.549199799252,265792.77009731764,927279.036195277,865258.4812671824
China,2015,6013.216606254206,9025.129242757092,264309.62790629023,1049615.5784508206,1168328.2496782208
China,2017,5421.93498860906,8494.46268961704,254597.4054541477,1130669.6292696416,1207723.3531531792
Colombia,2000,343.15210004338763,520.672892042347,4850.753064507385,12347.41017991235,10916.690754466565
Colombia,2005,356.16770344921446,509.8838350031128,5235.1916948683065,14910.98482692907,12098.380304852795
Colombia,2010,352.7386109915185,554.6245622552972,5689.4571432009925,17628.490945265858,13849.157236869823
Colombia,2015,285.73285289450297,530.2300122762076,5750.226104802804,20652.98113746776,15795.315761138294
Colombia,2017,276.6276443637896,509.46566606748763,5752.770528972733,22910.353293513148,17126.673082763285
Comoros,2000,11.062460436437103,10.365466968425077,88.93691922630089,102.11158605400257,173.6442703472934
Comoros,2005,10.381855567256428,10.183396269857866,92.55932880293972,117.11342181541842,179.42159198444546
Comoros,2010,11.993953857821833,11.727374874182676,103.36028557548828,142.61147488734238,199.3713510356125
Comoros,2015,9.520953056480405,11.171936094210007,113.72681631690992,172.08804142025102,230.22824820396218
Comoros,2017,9.071703416283038,10.916653814214364,117.22370927044344,184.25638485463662,243.78853435790103
Congo,2000,67.89563365781831,31.6574596051686,507.4423221747417,561.9505984566433,946.4264032242012
Congo,2005,67.15898851782347,33.37555626024897,546.5513719983277,609.2784762922226,997.6307209005494
Congo,2010,63.67967763101407,37.804024734300015,633.4367383700861,710.8268427140222,1127.7313543083078
Congo,2015,56.85112764205193,43.44542458728307,741.9463678072221,829.8783319241078,1375.1730415400425
Congo,2017,51.95987183330968,44.64778445738083,794.8718341095794,876.5667371844008,1507.4334527819085
Costa Rica,2000,21.812353631945335,40.86667222105672,506.26133705743894,1599.2859366279433,1031.2867416443532
Costa Rica,2005,18.367720808115944,41.66366571003643,542.2609400813426,1800.8706793606164,1192.1195973617553
Costa Rica,2010,19.058771994105452,37.049914204277634,604.292739224067,2268.778719519573,1521.4913838568816
Costa Rica,2015,15.964228757371215,28.059415421920818,623.1350711507077,2665.430553237697,1795.6511814248458
Costa Rica,2017,15.147733397414612,25.95091901790168,640.3589225426732,2981.871102416759,2053.703791289221
Croatia,2000,9.510488832906127,20.705315760962176,972.4737891961328,5726.278064276134,5413.108258519211
Croatia,2005,7.988818424151088,16.504571575281684,838.9946393489466,6759.043305686551,5002.951900055391
Croatia,2010,7.470354637555253,14.470456764949148,706.3846786813543,7843.992112163218,4997.816103032322
Croatia,2015,6.9881579708986115,12.86343945416546,611.377780816362,8585.320199861577,5325.169266962891
Croatia,2017,6.351452278448412,11.93910404027774,519.6817921403057,7981.838223756403,5028.977696443662
Cuba,2000,45.002772210831424,88.38248657338539,1920.2553774896246,8767.479272027344,6327.0021088980775
Cuba,2005,39.93886588632417,72.18196167554558,1985.3921554495614,10594.614656004906,7465.412227721375
Cuba,2010,33.840613036465996,65.5565096096505,2017.2503750715045,12206.836756022525,8446.81770134133
Cuba,2015,35.95992195237544,58.264395415326746,1830.4068021814069,13947.661013729983,9621.353708696464
Cuba,2017,32.192332582466854,54.396436936042726,1769.8590878200225,14409.563255883933,9937.04687729266
Cyprus,2000,1.911763169035464,6.564283833296177,113.68224862768587,736.0097271665869,506.2312761799308
Cyprus,2005,1.5195417063233336,5.0054948366308025,121.32041332457425,854.6559375786475,600.0754638170357
Cyprus,2010,1.33576431376209,4.035179618373531,125.2647806272732,958.2356265884378,682.497537959233
Cyprus,2015,1.221213531829357,3.9323907750760494,127.7942220340481,1108.2494823894344,728.0861062744858
Cyprus,2017,1.1807014366203443,3.786692163771921,128.36837025016123,1184.2422961119087,740.7419614903838
Denmark,2000,13.793052461201846,26.08472209357296,888.7607469349824,9692.86615845246,5559.428784150042
Denmark,2005,11.678486135273948,22.113925803316523,772.0658072708293,9824.423858410191,5573.080394427208
Denmark,2010,9.861322832217226,17.42636541685409,717.2369949317206,10464.036869413396,5907.956674348794
Denmark,2015,8.983538722085154,16.026606218865837,568.2744990018023,10676.837937543145,5380.520839421445
Denmark,2017,8.509678424975293,16.96023695756903,562.2965781446751,11428.89609848801,5387.589680792835
Ecuador,2000,110.48537964957359,208.7624806501823,1500.5417984308483,4035.460005378848,2800.3106231322613
Ecuador,2005,117.76978962522243,239.5146163029144,1923.1626098255201,5595.949635336326,3633.155041262477
Ecuador,2010,137.63893072508978,249.18722304813645,2162.2505179497502,6906.805600878089,4371.421122700154
Ecuador,2015,130.91286978401286,242.99519480372882,2148.1168157379334,7639.998367171741,4788.3467359054275
Ecuador,2017,124.49077853776372,232.5929279044804,2226.9115131510307,8330.32105450772,5182.924599616559
Egypt,2000,674.6331177281861,986.802674039418,7751.501768873385,6007.062320205258,12300.807502160154
Egypt,2005,699.493772457256,1033.838996239914,9785.58636326788,7029.733313897283,16178.192253162155
Egypt,2010,719.9079383339191,1004.6839907925979,10725.52836332759,8268.463119052214,19763.46595955104
Egypt,2015,722.4725057994394,1052.5027862675468,11555.123814809587,9731.103788347791,22356.303986471587
Egypt,2017,650.577188093991,1082.7797365162037,12121.329676212274,10425.900883374261,23743.80211071579
El Salvador,2000,40.795380770461094,67.36237828249794,672.9370355852346,1681.12023995663,1366.4328047867684
El Salvador,2005,30.953156639177784,65.25003692156046,738.6353853239629,2200.016587120495,1547.7392358866143
El Salvador,2010,22.409128402595982,55.77683894805196,744.8217118747708,2483.444779731038,1687.819519289018
El Salvador,2015,17.65467255511727,54.134856129993324,817.6939196513957,2737.564093177971,1836.7502253322095
El Salvador,2017,17.189578939387857,48.11239343239763,817.1915325100363,2833.138088520463,1922.1118420510682
Estonia,2000,3.5735639425600456,9.019318836406992,287.4692393850307,1498.0732547244515,1471.3890482210772
Estonia,2005,3.4386505375104046,6.033172269822337,237.3944221039769,1771.4788106621688,1462.5101572811234
Estonia,2010,3.1317463525634923,5.2637156176521955,180.37163200240852,2042.3984266163613,1267.8999770030694
Estonia,2015,2.768446218175351,5.625406792335205,156.1358594691926,2091.092746498872,1270.6766048378465
Estonia,2017,2.509668919508574,4.929618011980444,154.25033035569587,2047.3350409408813,1251.910412536055
Ethiopia,2000,1837.8190039349206,1219.1630661617976,8849.744139819491,7291.4961580833215,14424.305609594736
Ethiopia,2005,1903.2065717861622,1400.948083188073,8164.4182182511695,8165.026636537592,13895.314156688377
Ethiopia,2010,1884.7958758817285,1593.4961020330065,8801.285978420141,9888.487043439052,14385.146885574732
Ethiopia,2015,1686.229738035886,1554.5688997488212,9710.31943770603,11886.090950633296,15489.549081052348
Ethiopia,2017,1692.572797516126,1600.3271095880066,10095.714609758732,12997.846796157928,16408.95012198408
Fiji,2000,7.108934456355038,10.213146858190287,117.900851036728,110.86421952004092,198.21732635258635
Fiji,2005,7.455968587851625,8.959823738095501,128.40371977906156,134.28094335300005,233.84157001334012
